['20200303-162118'],['C:/Users/Y.Kojima/Desktop/test\\test (10) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=3089346560'],[' percent=63.6'],[' used=5400645632'],[' free=3089346560']
['20200303-162120'],['C:/Users/Y.Kojima/Desktop/test\\test (6) - コピー.vl'],['total=8489992192'],[' available=3178635264'],[' percent=62.6'],[' used=5311356928'],[' free=3178635264']
['20200303-162123'],['C:/Users/Y.Kojima/Desktop/test\\test (6).vl'],['total=8489992192'],[' available=3279134720'],[' percent=61.4'],[' used=5210857472'],[' free=3279134720']
['20200303-162125'],['C:/Users/Y.Kojima/Desktop/test\\test (7) - コピー.vl'],['total=8489992192'],[' available=3273879552'],[' percent=61.4'],[' used=5216112640'],[' free=3273879552']
['20200303-162129'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー - コピー.vl'],['total=8489992192'],[' available=3277418496'],[' percent=61.4'],[' used=5212573696'],[' free=3277418496']
['20200303-162132'],['C:/Users/Y.Kojima/Desktop/test\\test (8) - コピー.vl'],['total=8489992192'],[' available=3240058880'],[' percent=61.8'],[' used=5249933312'],[' free=3240058880']
['20200303-162135'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー - コピー.vl'],['total=8489992192'],[' available=3264892928'],[' percent=61.5'],[' used=5225099264'],[' free=3264892928']
['20200303-162138'],['C:/Users/Y.Kojima/Desktop/test\\test (9) - コピー - コピー.vl'],['total=8489992192'],[' available=3302957056'],[' percent=61.1'],[' used=5187035136'],[' free=3302957056']
['20200303-162141'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (1).vl'],['total=8489992192'],[' available=3268833280'],[' percent=61.5'],[' used=5221158912'],[' free=3268833280']
['20200303-162144'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー\\test (2).vl'],['total=8489992192'],[' available=3168206848'],[' percent=62.7'],[' used=5321785344'],[' free=3168206848']
['20200303-162146'],['C:/Users/Y.Kojima/Desktop/test\\新しいフォルダー (2)\\test (3).vl'],['total=8489992192'],[' available=3191656448'],[' percent=62.4'],[' used=5298335744'],[' free=3191656448']
['20200304-091733'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-1\\1209_1817_W55944--132203890352100000.vl'],['total=4260511744'],[' available=1542283264'],[' percent=63.8'],[' used=2718228480'],[' free=1542283264']
['20200304-091739'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-1\\1209_1818_W57527--132203891077690000.vl'],['total=4260511744'],[' available=1488683008'],[' percent=65.1'],[' used=2771828736'],[' free=1488683008']
['20200304-091746'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-1\\1209_1820_W55945--132203892250110000.vl'],['total=4260511744'],[' available=1494196224'],[' percent=64.9'],[' used=2766315520'],[' free=1494196224']
['20200304-091752'],['C:/Users/test-1/Desktop/191219_JFE提供データ\\20191209omote-1\\1209_1821_W55946--132203893105650000.vl'],['total=4260511744'],[' available=1469493248'],[' percent=65.5'],[' used=2791018496'],[' free=1469493248']
